Portugues,English
papel,paper
história,history
procurar,search
só,only
polícia,police
pensei,thought
ajuda,help
solicitar,request
Gentil,kind
mês,month
irmão,brother
deixar,let
Porque,because
colocar,to put
não,no
coleira,leash
eles,them
cidade,city
cada,each
falar,speak
vir,come
devemos,should
bebê,baby
muito tempo,long time
horas,hours
vontade,will
enquanto,while
encontrar de novo,meet again
nenhum,any
quadrado,square
falar,speak
Entendido,understood
sabia,knew
nós estamos,were
Aviso,Warning
aqui está,here is
poderia,could
caso,case
dar,give
tipo,type
deles,their
dado,given
Comboio,train
corpo,body
"Lugar, colocar",place
olhos,eyes
maneira,way
ouço,listen
de quem,whose
achar,find
primeiro,first
perdido,lost
mão,hand
primeiro,first
lateral,side
potência,power
velho,old
ser,be
aqui,here
manhã,morning
tanto,so much
filho,child
apontar,point
veio,came
depois de,after
desculpa,sorry
vir,come
em frente,in front of
para,towards
minutos,minutes
solicitar,request
quarto,bedroom
colocada,placed
bonita,beautiful
lei,law
gostaria de,would like to
hoje,today
marido,husband
causa,cause
finalmente,finally
esperança,hope
agua,water
Esperar,Wait
deixei,left
novo,new
trabalho,job
Pare,Stop
diria,would say
Terra,Earth
conta,account
dado,given
longe,far
fim,end
acreditam,believe
amor,sweetheart
ampla,large
em vez de,rather
terá,will have
garotas,girls
jogar,to play
